name,rel_date,genres,rating,movie_rated,run_length
The Truman Show,1998-06-05,Comedy; Drama; Sci-Fi; ,8.1,PG,1h 43min
The Sixth Sense,1999-08-06,Drama; Mystery; Thriller; ,8.1,PG-13,1h 47min
One Flew Over the Cuckoo's Nest,1975-11-19,Drama; ,8.7,R,2h 13min
Eternal Sunshine of the Spotless Mind,2004-03-19,Drama; Romance; Sci-Fi; ,8.3,R,1h 48min
The Shining,1980-06-13,Drama; Horror; ,8.4,R,2h 26min
Good Will Hunting,1998-01-09,Drama; Romance; ,8.3,R,2h 6min
Gone Girl,2014-10-03,Drama; Mystery; Thriller; ,8.1,R,2h 29min
Slumdog Millionaire,2008-12-25,Drama; Romance; ,8.0,R,2h
Gravity,2013-10-04,Drama; Sci-Fi; Thriller; ,7.7,PG-13,1h 31min
Requiem for a Dream,2000-12-15,Drama; ,8.3,R,1h 42min
Donnie Darko,2002-01-30,Drama; Mystery; Sci-Fi; ,8.0,R,1h 53min
Gran Torino,2009-01-09,Drama; ,8.1,R,1h 56min
Whiplash,2015-02-20,Drama; Music; ,8.5,R,1h 46min
Black Swan,2010-12-17,Drama; Thriller; ,8.0,R,1h 48min
Full Metal Jacket,1987-07-10,Drama; War; ,8.3,R,1h 56min
Silver Linings Playbook,2012-12-25,Comedy; Drama; Romance; ,7.7,R,2h 2min
Trainspotting,1996-08-09,Drama; ,8.1,R,1h 33min
Million Dollar Baby,2005-01-28,Drama; Sport; ,8.1,PG-13,2h 12min
Pan's Labyrinth,2007-01-19,Drama; Fantasy; War; ,8.2,R,1h 58min
Life Is Beautiful,1999-02-12,Comedy; Drama; Romance; ,8.6,PG-13,1h 56min
Apocalypse Now,1979-08-15,Drama; Mystery; War; ,8.4,R,2h 27min
The Curious Case of Benjamin Button,2008-12-25,Drama; Fantasy; Romance; ,7.8,PG-13,2h 46min
Arrival,2016-11-11,Drama; Mystery; Sci-Fi; ,7.9,PG-13,1h 56min
Birdman or (The Unexpected Virtue of Ignorance),2014-11-14,Comedy; Drama; ,7.7,R,1h 59min
Her,2014-01-10,Drama; Romance; Sci-Fi; ,8.0,R,2h 6min
Cast Away,2000-12-22,Adventure; Drama; Romance; ,7.8,PG-13,2h 23min
Casablanca,1943-01-23,Drama; Romance; War; ,8.5,PG,1h 42min
The Notebook,2004-06-25,Drama; Romance; ,7.8,PG-13,2h 3min
Rocky,1976-12-03,Drama; Sport; ,8.1,PG,2h
There Will Be Blood,2008-01-25,Drama; ,8.2,R,2h 38min
Once Upon a Time... in Hollywood,2019-07-26,Comedy; Drama; ,7.7,R,2h 41min
Blood Diamond,2006-12-08,Adventure; Drama; Thriller; ,8.0,R,2h 23min
Groundhog Day,1993-02-12,Comedy; Fantasy; Romance; ,8.0,PG,1h 41min
Zombieland,2009-10-02,Adventure; Comedy; Fantasy; ,7.6,R,1h 28min
Monty Python and the Holy Grail,1979-12-06,Adventure; Comedy; Fantasy; ,8.2,PG,1h 31min
Pirates of the Caribbean: On Stranger Tides,2011-05-20,Action; Adventure; Fantasy; ,6.6,PG-13,2h 16min
The Hobbit: The Battle of the Five Armies,2014-12-17,Adventure; Fantasy; ,7.4,PG-13,2h 24min
Harry Potter and the Deathly Hallows: Part 1,2010-11-19,Adventure; Fantasy; ,7.7,PG-13,2h 26min
Edward Scissorhands,1990-12-14,Drama; Fantasy; Romance; ,7.9,PG-13,1h 45min
Hancock,2008-07-02,Action; Fantasy; ,6.4,PG-13,1h 32min
Twilight,2008-11-21,Drama; Fantasy; Romance; ,5.2,PG-13,2h 2min
Big Fish,2004-01-09,Adventure; Drama; Fantasy; ,8.0,PG-13,2h 5min
Fantastic Beasts and Where to Find Them,2016-11-18,Adventure; Fantasy; ,7.3,PG-13,2h 12min
It's a Wonderful Life,1947-01-07,Drama; Fantasy; ,8.6,Passed,2h 10min
The Mummy,1999-05-07,Action; Adventure; Fantasy; ,7.0,PG-13,2h 4min
The Princess Bride,1987-10-09,Adventure; Fantasy; ,8.1,PG,1h 38min
Midnight in Paris,2011-06-10,Comedy; Fantasy; Romance; ,7.7,PG-13,1h 34min
Alice in Wonderland,2010-03-05,Adventure; Fantasy; ,6.4,PG,1h 48min
Justice League,2017-11-17,Action; Adventure; Fantasy; ,6.4,PG-13,2h
The Wizard of Oz,1939-08-25,Adventure; Fantasy; ,8.0,PG,1h 42min
Scott Pilgrim vs. the World,2010-08-13,Action; Comedy; Fantasy; ,7.5,PG-13,1h 52min
Bruce Almighty,2003-05-23,Comedy; Drama; Fantasy; ,6.8,PG-13,1h 41min
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-09,Adventure; Fantasy; ,6.9,PG,2h 23min
The Shape of Water,2017-12-22,Adventure; Drama; Fantasy; ,7.3,R,2h 3min
The Illusionist,2006-09-01,Drama; Fantasy; History; ,7.6,PG-13,1h 50min
Ghostbusters,1984-06-08,Action; Comedy; Fantasy; ,7.8,PG,1h 45min
Aquaman,2018-12-21,Action; Adventure; Fantasy; ,7.0,PG-13,2h 23min
Star Wars: Episode IX - The Rise of Skywalker,2019-12-20,Action; Adventure; Fantasy; ,6.7,PG-13,2h 22min
Sleepy Hollow,1999-11-19,Fantasy; Horror; Mystery; ,7.3,R,1h 45min
Fantastic Four,2005-07-08,Action; Adventure; Fantasy; ,5.7,PG-13,1h 46min
Being John Malkovich,1999-12-03,Comedy; Drama; Fantasy; ,7.7,R,1h 53min
Hellboy,2004-04-02,Action; Fantasy; Horror; ,6.8,PG-13,2h 2min
Click,2006-06-23,Comedy; Drama; Fantasy; ,6.4,PG-13,1h 47min
Hugo,2011-11-23,Drama; Fantasy; ,7.5,PG,2h 6min
Constantine,2005-02-18,Action; Fantasy; Horror; ,7.0,R,2h 1min
The Mummy Returns,2001-05-04,Action; Adventure; Fantasy; ,6.3,PG-13,2h 10min
About Time,2013-11-08,Comedy; Drama; Fantasy; ,7.8,R,2h 3min
The Secret Life of Walter Mitty,2013-12-25,Comedy; Drama; Fantasy; ,7.3,PG,1h 54min
Liar Liar,1997-03-21,Comedy; Fantasy; ,6.9,PG-13,1h 26min
Prince of Persia: The Sands of Time,2010-05-28,Action; Adventure; Fantasy; ,6.6,PG-13,1h 56min
Clash of the Titans,2010-04-02,Action; Adventure; Fantasy; ,5.8,PG-13,1h 46min
Beauty and the Beast,2017-03-17,Fantasy; ,7.1,PG,2h 9min
Kong: Skull Island,2017-03-10,Action; Adventure; Fantasy; ,6.6,PG-13,1h 58min
The Twilight Saga: New Moon,2009-11-20,Adventure; Drama; Fantasy; ,4.7,PG-13,2h 10min
Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-26,Action; Adventure; Fantasy; ,6.6,PG-13,2h 9min
Hellboy II: The Golden Army,2008-07-11,Action; Adventure; Fantasy; ,7.0,PG-13,2h
1408,2007-06-22,Fantasy; Horror; Mystery; ,6.8,PG-13,1h 44min
Beetlejuice,1988-03-30,Comedy; Fantasy; ,7.5,PG,1h 32min
"Crouching Tiger, Hidden Dragon",2001-01-12,Action; Adventure; Fantasy; ,7.8,PG-13,2h
Stardust,2007-08-10,Adventure; Fantasy; ,7.6,PG-13,2h 7min
Underworld,2003-09-19,Action; Fantasy; Thriller; ,7.0,R,2h 1min
Fantastic 4: Rise of the Silver Surfer,2007-06-15,Action; Adventure; Fantasy; ,5.6,PG,1h 32min
Vanilla Sky,2001-12-14,Fantasy; Mystery; Romance; ,6.9,R,2h 16min
Dark Shadows,2012-05-11,Comedy; Fantasy; Horror; ,6.2,PG-13,1h 53min
Van Helsing,2004-05-07,Action; Adventure; Fantasy; ,6.1,PG-13,2h 11min
Warcraft,2016-06-10,Action; Adventure; Fantasy; ,6.8,PG-13,2h 3min
Sucker Punch,2011-03-25,Action; Adventure; Fantasy; ,6.0,PG-13,1h 50min
The Twilight Saga: Breaking Dawn - Part 2,2012-11-16,Adventure; Drama; Fantasy; ,5.5,PG-13,1h 55min
The Twilight Saga: Eclipse,2010-06-30,Adventure; Drama; Fantasy; ,5.0,PG-13,2h 4min
Ender's Game,2013-11-01,Action; Adventure; Fantasy; ,6.6,PG-13,1h 54min
Ghost Rider,2007-02-16,Action; Fantasy; Thriller; ,5.2,PG-13,1h 50min
The Twilight Saga: Breaking Dawn - Part 1,2011-11-18,Adventure; Drama; Fantasy; ,4.9,PG-13,1h 57min
Stranger Than Fiction,2006-11-10,Comedy; Drama; Fantasy; ,7.5,PG-13,1h 53min
Elf,2003-11-07,Comedy; Fantasy; ,6.9,PG,1h 37min
Aladdin,2019-05-24,Adventure; Fantasy; ,7.0,PG,2h 8min
Mr. Nobody,2013-09-26,Drama; Fantasy; Romance; ,7.8,R,2h 21min
Troy,2004-05-14,Drama; History; ,7.2,R,2h 43min
Black Hawk Down,2002-01-18,Drama; History; War; ,7.7,R,2h 24min
Pearl Harbor,2001-05-25,Action; Drama; History; ,6.2,PG-13,3h 3min
Les Misérables,2012-12-25,Drama; History; ,7.6,PG-13,2h 38min
Gone with the Wind,1940-01-17,Drama; History; Romance; ,8.1,Passed,3h 58min
Bridge of Spies,2015-10-16,Drama; History; Thriller; ,7.6,PG-13,2h 22min
Zero Dark Thirty,2013-01-11,Drama; History; Thriller; ,7.4,R,2h 37min
Apollo 13,1995-06-30,Adventure; Drama; History; ,7.6,PG,2h 20min
The Patriot,2000-06-28,Action; Drama; History; ,7.2,R,2h 45min
Enemy at the Gates,2001-03-16,Drama; History; War; ,7.6,R,2h 11min
21,2008-03-28,Crime; Drama; History; ,6.8,PG-13,2h 3min
Valkyrie,2008-12-25,Drama; History; Thriller; ,7.1,PG-13,2h 1min
The Great Escape,1963-07-04,Adventure; Drama; History; ,8.2,Not Rated,2h 52min
Ben-Hur,1960-01-29,Adventure; Drama; History; ,8.1,G,3h 32min
Shakespeare in Love,1999-01-08,Comedy; Drama; History; ,7.1,R,2h 3min
Munich,2006-01-06,Action; Drama; History; ,7.5,R,2h 44min
The Impossible,2013-01-04,Drama; History; Thriller; ,7.6,PG-13,1h 54min
Hero,2004-08-27,Action; Adventure; History; ,7.9,PG-13,2h
Deepwater Horizon,2016-09-30,Action; Drama; History; ,7.1,PG-13,1h 47min
Barry Lyndon,1975-12-18,Adventure; Drama; History; ,8.1,PG,3h 5min
JFK,1991-12-20,Drama; History; Thriller; ,8.0,R,3h 9min
Cold Mountain,2003-12-25,Adventure; Drama; History; ,7.2,R,2h 34min
Defiance,2009-01-16,Action; Drama; History; ,7.2,R,2h 17min
We Were Soldiers,2002-03-01,Action; Drama; History; ,7.2,R,2h 18min
The Monuments Men,2014-02-07,Comedy; Drama; History; ,6.1,PG-13,1h 58min
Glory,1990-02-16,Biography; Drama; History; ,7.8,R,2h 2min
The 13th Warrior,1999-08-27,Action; Adventure; History; ,6.6,R,1h 42min
Empire of the Sun,1987-12-25,Action; Drama; History; ,7.7,PG,2h 33min
Rang De Basanti,2006-01-26,Comedy; Drama; History; ,8.2,Not Rated,2h 47min
The Way Back,2011-01-21,Adventure; Drama; History; ,7.3,PG-13,2h 13min
Across the Universe,2007-10-12,Drama; Fantasy; History; ,7.3,PG-13,2h 13min
The Queen,2006-11-17,Biography; Drama; History; ,7.3,PG-13,1h 43min
The Other Boleyn Girl,2008-02-29,Biography; Drama; History; ,6.7,PG-13,1h 55min
Frost_Nixon,2009-01-23,Biography; Drama; History; ,7.7,R,2h 2min
All the President's Men,1976-04-09,Biography; Drama; History; ,8.0,PG,2h 18min
Marie Antoinette,2006-10-20,Biography; Drama; History; ,6.4,PG-13,2h 3min
The Good Shepherd,2006-12-22,Drama; History; Thriller; ,6.7,R,2h 47min
United 93,2006-04-28,Drama; History; Sci-Fi; ,7.5,R,1h 51min
Silence,2017-01-13,Drama; History; ,7.2,R,2h 41min
"Good Night, and Good Luck.",2005-11-04,Biography; Drama; History; ,7.4,PG,1h 33min
The Last Emperor,1988-04-15,Biography; Drama; History; ,7.7,PG-13,2h 43min
Elizabeth,1999-02-19,Biography; Drama; History; ,7.4,R,2h 4min
Mississippi Burning,1989-01-27,Crime; Drama; History; ,7.8,R,2h 8min
The Grapes of Wrath,1940-03-15,Drama; History; ,8.0,Passed,2h 9min
Selma,2015-01-09,Biography; Drama; History; ,7.5,PG-13,2h 8min
Malcolm X,1992-11-18,Biography; Drama; History; ,7.7,PG-13,3h 22min
The New World,2006-01-20,Biography; Drama; History; ,6.7,PG-13,2h 15min
The Death of Stalin,2018-03-09,Comedy; Drama; History; ,7.2,R,1h 47min
Centurion,2010-07-30,Action; Drama; History; ,6.4,R,1h 37min
The Duchess,2008-10-10,Biography; Drama; History; ,6.9,PG-13,1h 50min
World Trade Center,2006-08-09,Drama; Fantasy; History; ,5.9,PG-13,2h 9min
The King,2019-11-01,Biography; Drama; History; ,7.2,R,2h 20min
The Lost City of Z,2017-04-21,Biography; Drama; History; ,6.6,PG-13,2h 21min
Jackie,2016-12-02,Biography; Drama; History; ,6.7,R,1h 40min
The Water Diviner,2015-04-17,Drama; History; War; ,7.0,R,1h 51min
Amistad,1997-12-25,Biography; Drama; History; ,7.3,R,2h 35min
The White Ribbon,2010-03-05,Drama; History; Mystery; ,7.8,R,2h 24min
Elizabeth: The Golden Age,2007-10-12,Biography; Drama; History; ,6.8,PG-13,1h 54min
Seabiscuit,2003-07-25,Drama; History; Sport; ,7.3,PG-13,2h 20min
Child 44,2016-05-09,Crime; Drama; History; ,6.5,R,2h 17min
12 Strong,2018-01-19,Action; Drama; History; ,6.6,R,2h 10min
Quiz Show,1994-10-07,Biography; Drama; History; ,7.5,PG-13,2h 13min
The Finest Hours,2016-01-29,Action; Drama; History; ,6.8,PG-13,1h 57min
K-19: The Widowmaker,2002-07-19,Drama; History; Thriller; ,6.7,PG-13,2h 18min
The Young Victoria,2010-01-08,Biography; Drama; History; ,7.3,PG,1h 45min
Conquest 1453,2012-04-25,Action; Drama; History; ,6.7,Not Rated,2h 42min
The Mission,1986-10-31,Adventure; Drama; History; ,7.4,PG,2h 5min
Thirteen Days,2001-01-12,Drama; History; Thriller; ,7.3,PG-13,2h 25min
Woman in Gold,2015-04-10,Biography; Drama; History; ,7.3,PG-13,1h 49min
Macbeth,2015-12-11,Drama; History; War; ,6.6,R,1h 53min
Battleship Potemkin,1925-12-24,Drama; History; Thriller; ,8.0,Not Rated,1h 6min
Airlift,2016-01-22,Drama; History; ,8.0,Not Rated,2h 10min
The Longest Day,1962-10-04,Action; Drama; History; ,7.8,G,2h 58min
Midway,2019-11-08,Action; Drama; History; ,6.7,PG-13,2h 18min
A Bridge Too Far,1977-06-15,Drama; History; War; ,7.4,PG,2h 55min
The Killing Fields,1985-02-01,Biography; Drama; History; ,7.8,R,2h 21min
The Flowers of War,2011-12-16,Drama; History; Romance; ,7.6,R,2h 26min
Hotel Mumbai,2019-03-29,Action; Drama; History; ,7.6,R,2h 3min
Miracle,2004-02-06,Biography; Drama; History; ,7.5,PG,2h 15min
Detroit,2017-08-04,Crime; Drama; History; ,7.3,R,2h 23min
The Passion of Joan of Arc,1928-10-25,Biography; Drama; History; ,8.1,Passed,1h 54min
Cold War,2018-06-08,Drama; History; Music; ,7.6,R,1h 29min
Alien,1979-06-22,Horror; Sci-Fi; ,8.4,R,1h 57min
Psycho,1960-09-08,Horror; Mystery; Thriller; ,8.5,R,1h 49min
Shaun of the Dead,2004-09-24,Comedy; Horror; ,7.9,R,1h 39min
Get Out,2017-02-24,Horror; Mystery; Thriller; ,7.7,R,1h 44min
It,2017-09-08,Horror; ,7.3,R,2h 15min
The Conjuring,2013-07-19,Horror; Mystery; Thriller; ,7.5,R,1h 52min
Split,2017-01-20,Horror; Thriller; ,7.3,PG-13,1h 57min
A Quiet Place,2018-04-06,Drama; Horror; Sci-Fi; ,7.5,PG-13,1h 30min
Saw,2004-10-29,Horror; Mystery; ,7.6,R,1h 43min
28 Days Later...,2003-06-27,Drama; Horror; Sci-Fi; ,7.6,R,1h 53min
Cloverfield,2008-01-18,Action; Adventure; Horror; ,7.0,PG-13,1h 25min
The Cabin in the Woods,2012-04-13,Horror; ,7.0,R,1h 35min
The Thing,1982-06-25,Horror; Mystery; Sci-Fi; ,8.1,R,1h 49min
The Exorcist,1973-12-26,Horror; ,8.0,R,2h 2min
Sweeney Todd: The Demon Barber of Fleet Street,2007-12-21,Drama; Horror; ,7.3,R,1h 56min
The Others,2001-08-10,Horror; Mystery; Thriller; ,7.6,PG-13,1h 44min
The Ring,2002-10-18,Horror; Mystery; ,7.1,PG-13,1h 55min
Interview with the Vampire: The Vampire Chronicles,1994-11-11,Drama; Horror; ,7.6,R,2h 3min
10 Cloverfield Lane,2016-03-11,Drama; Horror; Mystery; ,7.2,PG-13,1h 43min
Scream,1996-12-20,Horror; Mystery; ,7.2,R,1h 51min
The Mist,2007-11-21,Horror; Sci-Fi; ,7.1,R,2h 6min
Alien 3,1992-05-22,Action; Horror; Sci-Fi; ,6.5,R,1h 54min
Insidious,2011-04-01,Horror; Mystery; Thriller; ,6.8,PG-13,1h 43min
Annihilation,2018-02-23,Adventure; Drama; Horror; ,6.9,R,1h 55min
Bird Box,2018-12-21,Drama; Horror; Sci-Fi; ,6.6,R,2h 4min
28 Weeks Later,2007-05-11,Horror; Sci-Fi; ,7.0,R,1h 40min
Alien: Covenant,2017-05-19,Horror; Sci-Fi; Thriller; ,6.4,R,2h 2min
Resident Evil,2002-03-15,Action; Horror; Sci-Fi; ,6.7,R,1h 40min
Blade,1998-08-21,Action; Horror; Sci-Fi; ,7.1,R,2h
Dawn of the Dead,2004-03-19,Action; Horror; ,7.3,R,1h 41min
Saw II,2005-10-28,Horror; Mystery; ,6.6,R,1h 33min
The Blair Witch Project,1999-07-30,Horror; Mystery; ,6.5,R,1h 21min
Final Destination,2000-03-17,Horror; Thriller; ,6.7,R,1h 38min
Alien: Resurrection,1997-11-26,Action; Horror; Sci-Fi; ,6.2,R,1h 49min
Pitch Black,2000-02-18,Action; Horror; Sci-Fi; ,7.1,R,1h 49min
Halloween,1978-10-27,Horror; Thriller; ,7.8,R,1h 31min
Paranormal Activity,2009-10-16,Horror; Mystery; Thriller; ,6.3,R,1h 26min
The Conjuring 2,2016-06-10,Horror; Mystery; Thriller; ,7.3,R,2h 14min
Warm Bodies,2013-02-01,Comedy; Horror; Romance; ,6.9,PG-13,1h 38min
Hereditary,2018-06-08,Drama; Horror; Mystery; ,7.3,R,2h 7min
Sinister,2012-10-12,Horror; Mystery; Thriller; ,6.8,R,1h 50min
Silent Hill,2006-04-21,Horror; ,6.5,R,2h 5min
Don't Breathe,2016-08-26,Crime; Horror; Thriller; ,7.1,R,1h 28min
Us,2019-03-22,Horror; Mystery; Thriller; ,6.9,R,1h 56min
It Follows,2015-03-13,Horror; Mystery; Thriller; ,6.8,R,1h 40min
Life,2017-03-24,Horror; Sci-Fi; Thriller; ,6.6,R,1h 44min
A Nightmare on Elm Street,1984-11-16,Horror; ,7.5,R,1h 31min
The Purge,2013-06-07,Horror; Thriller; ,5.7,R,1h 25min
The Descent,2006-08-04,Adventure; Horror; Thriller; ,7.2,R,1h 39min
Blade II,2002-03-22,Action; Fantasy; Horror; ,6.7,R,1h 57min
Hansel & Gretel: Witch Hunters,2013-01-25,Action; Fantasy; Horror; ,6.1,R,1h 28min
Gremlins,1984-06-08,Comedy; Fantasy; Horror; ,7.3,PG,1h 46min
The Babadook,2014-11-28,Drama; Horror; ,6.8,Not Rated,1h 34min
Orphan,2009-07-24,Horror; Mystery; Thriller; ,6.9,R,2h 3min
The Witch,2016-02-19,Drama; Horror; Mystery; ,6.9,R,1h 32min
Bram Stoker's Dracula,1992-11-13,Horror; ,7.4,R,2h 8min
Rosemary's Baby,1968-10-17,Drama; Horror; ,8.0,R,2h 17min
Drag Me to Hell,2009-05-29,Horror; Thriller; ,6.5,PG-13,1h 39min
It Chapter Two,2019-09-06,Drama; Fantasy; Horror; ,6.6,R,2h 49min
Resident Evil: Apocalypse,2004-09-10,Action; Horror; Sci-Fi; ,6.2,R,1h 34min
Mother!,2017-09-15,Drama; Horror; Mystery; ,6.6,R,2h 1min
Alien vs. Predator,2004-08-13,Action; Adventure; Horror; ,5.6,PG-13,1h 41min
The Evil Dead,1983-04-15,Horror; ,7.5,NC-17,1h 25min
Resident Evil: Extinction,2007-09-21,Action; Horror; Sci-Fi; ,6.3,R,1h 34min
Grindhouse,2007-04-06,Action; Horror; Thriller; ,7.5,R,3h 11min
Saw III,2006-10-27,Horror; Mystery; Thriller; ,6.2,R,1h 48min
The Woman in Black,2012-02-03,Drama; Fantasy; Horror; ,6.4,PG-13,1h 35min
Pi,1998-07-10,Drama; Horror; Mystery; ,7.4,R,1h 24min
Hostel,2006-01-06,Horror; ,5.9,R,1h 34min
Mama,2013-01-18,Horror; Thriller; ,6.2,PG-13,1h 40min
The Birds,1963-03-29,Drama; Horror; Mystery; ,7.7,PG-13,1h 59min
Midsommar,2019-07-03,Drama; Horror; Mystery; ,7.1,R,2h 28min
Carrie,1976-11-16,Horror; ,7.4,R,1h 38min
Tucker and Dale vs Evil,2010-12-09,Comedy; Horror; ,7.5,R,1h 29min
30 Days of Night,2007-10-19,Action; Horror; Thriller; ,6.6,R,1h 53min
Resident Evil: Afterlife,2010-09-10,Action; Adventure; Horror; ,5.8,R,1h 36min
Army of Darkness,1993-02-19,Comedy; Horror; ,7.5,R,1h 21min
The Hills Have Eyes,2006-03-10,Horror; Thriller; ,6.4,R,1h 47min
The Fly,1986-08-15,Drama; Horror; Sci-Fi; ,7.6,R,1h 36min
Event Horizon,1997-08-15,Horror; Sci-Fi; Thriller; ,6.7,R,1h 36min
Evil Dead,2013-04-05,Fantasy; Horror; Thriller; ,6.5,R,1h 31min
Scream 2,1997-12-12,Horror; Mystery; ,6.2,R,2h
Insidious: Chapter 2,2013-09-13,Horror; Mystery; Thriller; ,6.6,PG-13,1h 46min
Final Destination 2,2003-01-31,Horror; Thriller; ,6.2,R,1h 30min
What We Do in the Shadows,2015-02-13,Comedy; Horror; ,7.7,R,1h 26min
Abraham Lincoln: Vampire Hunter,2012-06-22,Action; Fantasy; Horror; ,5.9,R,1h 45min
Scary Movie 2,2001-07-04,Comedy; Horror; ,5.3,R,1h 23min
From Hell,2001-10-19,Horror; Mystery; Thriller; ,6.8,R,2h 2min
The Orphanage,2008-01-11,Drama; Fantasy; Horror; ,7.4,R,1h 45min
Train to Busan,2016-10-21,Action; Horror; Thriller; ,7.5,TV-MA,1h 58min
Evil Dead II,1987-03-13,Comedy; Horror; ,7.8,R,1h 24min
Underworld Awakening,2012-01-20,Action; Fantasy; Horror; ,6.4,R,1h 28min
La La Land,2016-12-25,Comedy; Drama; Music; ,8.0,PG-13,2h 8min
A Star Is Born,2018-10-05,Drama; Music; Romance; ,7.7,R,2h 16min
Pitch Perfect,2012-10-05,Comedy; Music; Romance; ,7.2,PG-13,1h 52min
School of Rock,2003-10-03,Comedy; Music; ,7.1,PG-13,1h 49min
8 Mile,2002-11-08,Drama; Music; ,7.1,R,1h 50min
Some Like It Hot,1959-03-19,Comedy; Music; Romance; ,8.2,Not Rated,2h 1min
Dirty Dancing,1987-08-21,Drama; Music; Romance; ,7.0,PG-13,1h 40min
Get Him to the Greek,2010-06-04,Comedy; Music; ,6.4,R,1h 49min
High Fidelity,2000-03-31,Comedy; Drama; Music; ,7.5,R,1h 53min
Wayne's World,1992-02-14,Comedy; Music; ,7.0,PG-13,1h 34min
Begin Again,2014-07-11,Comedy; Drama; Music; ,7.4,R,1h 44min
Pitch Perfect 2,2015-05-15,Comedy; Music; ,6.4,PG-13,1h 55min
Inside Llewyn Davis,2014-01-10,Comedy; Drama; Music; ,7.5,R,1h 44min
The Wedding Singer,1998-02-13,Comedy; Music; Romance; ,6.8,PG-13,1h 37min
This Is Spinal Tap,1984-03-02,Comedy; Music; ,7.9,R,1h 22min
Billy Elliot,2000-11-10,Drama; Music; ,7.7,R,1h 50min
Rocketman,2019-05-31,Biography; Drama; Music; ,7.3,R,2h 1min
"Hail, Caesar!",2016-02-05,Comedy; Drama; Music; ,6.3,PG-13,1h 46min
The Bodyguard,1992-11-25,Action; Drama; Music; ,6.3,R,2h 9min
If I Stay,2014-08-22,Drama; Fantasy; Music; ,6.7,PG-13,1h 47min
Once,2007-06-15,Drama; Music; Romance; ,7.8,R,1h 26min
Step Up,2006-08-11,Crime; Drama; Music; ,6.5,PG-13,1h 44min
Bill & Ted's Excellent Adventure,1989-02-17,Adventure; Comedy; Music; ,6.9,PG,1h 30min
Pirate Radio,2009-11-13,Comedy; Drama; Music; ,7.4,R,1h 57min
Coyote Ugly,2000-08-04,Comedy; Drama; Music; ,5.7,PG-13,1h 40min
Green Room,2016-05-13,Horror; Music; Thriller; ,7.0,R,1h 35min
August Rush,2007-11-21,Drama; Music; ,7.5,PG,1h 54min
Yesterday,2019-06-28,Comedy; Fantasy; Music; ,6.8,PG-13,1h 56min
Tenacious D in the Pick of Destiny,2006-11-22,Adventure; Comedy; Music; ,6.8,R,1h 33min
Music and Lyrics,2007-02-14,Comedy; Music; Romance; ,6.5,PG-13,1h 44min
Nick and Norah's Infinite Playlist,2008-10-03,Comedy; Drama; Music; ,6.6,PG-13,1h 30min
Three Colors: Blue,1993-09-08,Drama; Music; Mystery; ,7.9,R,1h 34min
To Rome With Love,2012-07-06,Comedy; Music; Romance; ,6.3,R,1h 52min
Crazy Heart,2010-02-05,Drama; Music; Romance; ,7.2,R,1h 52min
Sing Street,2016-03-17,Comedy; Drama; Music; ,7.9,PG-13,1h 46min
The Doors,1991-03-01,Biography; Drama; Music; ,7.2,R,2h 20min
La Vie En Rose,2007-07-20,Biography; Drama; Music; ,7.6,PG-13,2h 20min
The Last Song,2010-03-31,Drama; Music; Romance; ,6.0,PG,1h 47min
Step Up 2: The Streets,2008-02-14,Drama; Music; Romance; ,6.2,PG-13,1h 38min
The Piano,1994-02-11,Drama; Music; Romance; ,7.6,R,2h 1min
Burlesque,2010-11-24,Drama; Music; ,6.4,PG-13,1h 59min
Frank,2014-09-05,Comedy; Drama; Music; ,7.0,R,1h 35min
Youth,2015-12-04,Comedy; Drama; Music; ,7.3,R,2h 4min
Saturday Night Fever,1977-12-16,Drama; Music; ,6.8,R,1h 58min
Footloose,1984-02-17,Drama; Music; Romance; ,6.6,PG,1h 47min
Dreamgirls,2006-12-25,Drama; Music; ,6.5,PG-13,2h 10min
Walk Hard: The Dewey Cox Story,2007-12-21,Comedy; Drama; Music; ,6.8,R,1h 36min
That Thing You Do!,1996-10-04,Comedy; Drama; Music; ,6.9,PG,1h 48min
Control,2007-09-26,Biography; Drama; Music; ,7.7,R,2h 2min
Black Snake Moan,2007-03-02,Drama; Music; ,6.9,R,1h 56min
Coffee and Cigarettes,2004-06-11,Comedy; Drama; Music; ,7.1,R,1h 35min
Top Secret!,1984-06-08,Comedy; Music; ,7.2,PG,1h 30min
The Legend of 1900,1998-10-28,Drama; Music; Romance; ,8.1,R,2h 49min
Save the Last Dance,2001-01-12,Drama; Music; Romance; ,6.2,PG-13,1h 52min
A Night at the Roxbury,1998-10-02,Comedy; Music; Romance; ,6.3,PG-13,1h 22min
The Chorus,2004-03-17,Drama; Music; ,7.9,PG-13,1h 37min
I'm Not There,2007-12-07,Biography; Drama; Music; ,6.9,R,2h 15min
Pitch Perfect 3,2017-12-22,Comedy; Music; ,5.8,PG-13,1h 33min
Popstar: Never Stop Never Stopping,2016-06-03,Comedy; Music; ,6.7,R,1h 27min
Magic Mike XXL,2015-07-01,Comedy; Drama; Music; ,5.6,R,1h 55min
The Soloist,2009-04-24,Biography; Drama; Music; ,6.7,PG-13,1h 57min
Shine,1997-02-14,Biography; Drama; Music; ,7.7,PG-13,1h 45min
The Producers,1968-11-10,Comedy; Music; ,7.6,PG,1h 28min
